licenseNumber,businessName,licenseType,State,StateAbbr,address,city,zipCode,expirationDate,status,phone,email
010-1002015CA5E,Chemhistory,laboratory,Oregon,OR,,,,10/03/2025,active,,
010-1003224D558,"Columbia Laboratories, Inc",laboratory,Oregon,OR,,,,08/25/2025,active,,
010-1003340D344,2 River Labs Oregon,laboratory,Oregon,OR,,,,01/29/2025,active,,
010-1018619A26E,SC Labs,laboratory,Oregon,OR,,,,02/14/2025,active,,
010-10029074C70,Green Leaf Lab,laboratory,Oregon,OR,,,,08/25/2025,active,,
010-10076340B22,Reference Labs LLC,laboratory,Oregon,OR,,,,12/21/2024,active,,
010-10087092BDA,PREE,laboratory,Oregon,OR,,,,09/27/2024,active,,
010-100536507C4,3B Analytical,laboratory,Oregon,OR,,,,10/30/2024,active,,
010-101599328A3,Pinnacle Analytics,laboratory,Oregon,OR,,,,08/03/2025,active,,
010-1002112892C,Rose City Labs,laboratory,Oregon,OR,,,,12/15/2024,active,,
010-10172269268,Green Leaf Lab LLC,laboratory,Oregon,OR,,,,01/17/2025,active,,
010-10219583711,PREE-NORTH,laboratory,Oregon,OR,,,,08/02/2025,active,,
010-10233216933,Britebox Labs,laboratory,Oregon,OR,,,,04/04/2025,active,,
020-3000,SURE BITE INDUSTRIES LLC,recreational producer,Oregon,OR,,,,03/20/2025,active,,
020-3011,More Life Farms,recreational producer,Oregon,OR,,,,03/27/2025,active,,
020-3012,No Name Garden,recreational producer,Oregon,OR,,,,04/03/2025,active,,
020-3014,Boom Boom Farms LLC,recreational producer,Oregon,OR,,,,03/28/2025,active,,
020-3019,Hazy Daze,recreational producer,Oregon,OR,,,,03/06/2025,active,,
020-3040,Bogart Farms LLC,recreational producer,Oregon,OR,,,,04/03/2025,active,,
020-3076,Verdant Leaf,recreational producer,Oregon,OR,,,,04/15/2025,active,,
020-3091,Mr. Purple,recreational producer,Oregon,OR,,,,04/18/2025,active,,
020-3098,"NorthWest HydroGrow, Inc.",recreational producer,Oregon,OR,,,,04/22/2025,active,,
020-3099,NWHG,recreational producer,Oregon,OR,,,,04/22/2025,active,,
020-3119,Red Sun,recreational producer,Oregon,OR,,,,04/23/2025,active,,
020-3120,Rogue Farmz,recreational producer,Oregon,OR,,,,04/23/2025,active,,
020-3143,FIREKEEPER FAMILY FARMS,recreational producer,Oregon,OR,,,,04/30/2025,active,,
020-3147,Highway Supply Company,recreational producer,Oregon,OR,,,,04/30/2025,active,,
020-3182,The Fields,recreational producer,Oregon,OR,,,,05/05/2025,active,,
020-3321,Hometown Cultivation,recreational producer,Oregon,OR,,,,05/11/2025,active,,
020-3394,Premier Farm,recreational producer,Oregon,OR,,,,05/14/2025,active,,
020-3445,Elk Haven Farms,recreational producer,Oregon,OR,,,,05/17/2025,active,,
020-3457,Brophy Farms,recreational producer,Oregon,OR,,,,05/19/2025,active,,
020-3502,Flametender Farms,recreational producer,Oregon,OR,,,,05/21/2025,active,,
020-3531,JCO Ranch,recreational producer,Oregon,OR,,,,05/26/2025,active,,
020-3544,Calyx Cultivation 2,recreational producer,Oregon,OR,,,,05/27/2025,active,,
020-3615,Owwl Farms,recreational producer,Oregon,OR,,,,05/29/2025,active,,
020-3633,Northwest OG,recreational producer,Oregon,OR,,,,05/31/2025,active,,
020-3634,Green Valley Harvest INC,recreational producer,Oregon,OR,,,,05/31/2025,active,,
020-3661,Hao Yang LLC,recreational producer,Oregon,OR,,,,06/02/2025,active,,
020-3669,Dragonfly Cultivators,recreational producer,Oregon,OR,,,,06/04/2025,active,,
020-3762,JDB Express LLC,recreational producer,Oregon,OR,,,,06/17/2025,active,,
020-3763,NT Trade LLC,recreational producer,Oregon,OR,,,,06/17/2025,active,,
020-3767,CleanTree,recreational producer,Oregon,OR,,,,06/17/2025,active,,
020-3770,Treasure Valley Cannabis Company,recreational producer,Oregon,OR,,,,06/20/2025,active,,
020-3787,Moon Mountain Cannabis,recreational producer,Oregon,OR,,,,06/23/2025,active,,
020-3794,J & Son Farms,recreational producer,Oregon,OR,,,,06/26/2025,active,,
020-3807,Pac House Exoticz,recreational producer,Oregon,OR,,,,07/01/2025,active,,
020-3818,Humboldt Boyz,recreational producer,Oregon,OR,,,,07/02/2025,active,,
020-3821,Phunky Flowers LLC,recreational producer,Oregon,OR,,,,07/04/2025,active,,
020-3832,ETO Roots,recreational producer,Oregon,OR,,,,07/08/2025,active,,
020-3833,Green Pine Farms LLC,recreational producer,Oregon,OR,,,,07/09/2025,active,,
020-3845,Orland Farms,recreational producer,Oregon,OR,,,,07/10/2025,active,,
020-3851,Sunrise Plantation,recreational producer,Oregon,OR,,,,07/10/2025,active,,
020-3852,Luxuriant Trees,recreational producer,Oregon,OR,,,,07/10/2025,active,,
020-3853,Slims Topshelf,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-3855,Crooks Creek,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-3856,Nectar,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-3857,Nectar,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-3858,High Tops,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-3859,"BG3 Productions, LLC",recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-3860,DSE LLC,recreational producer,Oregon,OR,,,,07/12/2025,active,,
020-3872,HM Exotics LLC,recreational producer,Oregon,OR,,,,07/17/2025,active,,
020-3875,Alpha Grow,recreational producer,Oregon,OR,,,,07/17/2025,active,,
020-3876,Casagrande,recreational producer,Oregon,OR,,,,07/17/2025,active,,
020-3878,Lyonheart Hillsboro I,recreational producer,Oregon,OR,,,,07/21/2025,active,,
020-3879,Wild Sun LLC,recreational producer,Oregon,OR,,,,07/21/2025,active,,
020-3882,HRP Holdings,recreational producer,Oregon,OR,,,,07/22/2025,active,,
020-3883,Cyclops Cannabis,recreational producer,Oregon,OR,,,,07/22/2025,active,,
020-3894,Flying High 2,recreational producer,Oregon,OR,,,,07/24/2025,active,,
020-3901,"T-Rex, LLC",recreational producer,Oregon,OR,,,,07/25/2025,active,,
020-3907,Sticky Farms,recreational producer,Oregon,OR,,,,07/28/2025,active,,
020-3913,Van Cleef Bee,recreational producer,Oregon,OR,,,,07/30/2025,active,,
020-3931,Kaladonia,recreational producer,Oregon,OR,,,,07/31/2025,active,,
020-3935,Einer Noch,recreational producer,Oregon,OR,,,,08/01/2025,active,,
020-3939,PDX GREENLAND,recreational producer,Oregon,OR,,,,08/04/2025,active,,
020-3945,KRS AG LLC,recreational producer,Oregon,OR,,,,08/05/2025,active,,
020-3960,Clear Farm LLC,recreational producer,Oregon,OR,,,,08/07/2025,active,,
020-3963,KAKC Enterprise,recreational producer,Oregon,OR,,,,08/07/2025,active,,
020-3964,Azteca Farms,recreational producer,Oregon,OR,,,,08/08/2025,active,,
020-4024,The Ark Greens LLC,recreational producer,Oregon,OR,,,,08/13/2025,active,,
020-4048,Safari,recreational producer,Oregon,OR,,,,08/14/2025,active,,
020-4106,Heavens Tree LLC,recreational producer,Oregon,OR,,,,08/15/2025,active,,
020-4145,KAKC Farms,recreational producer,Oregon,OR,,,,08/18/2025,active,,
020-4190,Gusto Gardens,recreational producer,Oregon,OR,,,,08/19/2025,active,,
020-4244,Bitter Boy Farms,recreational producer,Oregon,OR,,,,08/21/2025,active,,
020-4505,MVR Product,recreational producer,Oregon,OR,,,,08/28/2025,active,,
020-4738,YNOT LLC,recreational producer,Oregon,OR,,,,09/04/2025,active,,
020-1000058BDFD,High Latitude Farms,recreational producer,Oregon,OR,,,,11/20/2024,active,,
020-1000105C1FF,Pacific Frost Farms,recreational producer,Oregon,OR,,,,07/09/2025,active,,
020-1000116D319,oreKron,recreational producer,Oregon,OR,,,,07/19/2024,active,,
020-1000125B4E2,Sol Cultivations INC,recreational producer,Oregon,OR,,,,07/07/2025,active,,
020-1000140D286,"Bosmere Farms, Inc.",recreational producer,Oregon,OR,,,,09/27/2024,active,,
020-1000141D7D2,Bull Run Craft Cannabis,recreational producer,Oregon,OR,,,,06/22/2025,active,,
020-1000156AA26,Night Owl Nursery,recreational producer,Oregon,OR,,,,05/18/2025,active,,
020-1000186F98B,Smith Farms,recreational producer,Oregon,OR,,,,09/18/2025,active,,
020-1000191DF61,"Applegate Gold, LLC",recreational producer,Oregon,OR,,,,06/08/2025,active,,
020-1000193BA66,High Noon Cultivation,recreational producer,Oregon,OR,,,,08/25/2025,active,,
020-1000299E422,Pilot Farms,recreational producer,Oregon,OR,,,,05/19/2025,active,,
020-1000310A051,Mountain Sun Botanicals,recreational producer,Oregon,OR,,,,06/02/2025,active,,
020-1000348FC6E,Tomato Hill Company,recreational producer,Oregon,OR,,,,09/06/2024,active,,
020-1000361F298,Evan's Creek Farms,recreational producer,Oregon,OR,,,,12/19/2024,active,,
020-1000380DDC5,Be-1 Enterprises North West Inc.,recreational producer,Oregon,OR,,,,08/08/2025,active,,
020-1000385A212,Madrone Bravo,recreational producer,Oregon,OR,,,,07/10/2025,active,,
020-1000427C361,Frontier Farms,recreational producer,Oregon,OR,,,,05/30/2025,active,,
020-1000435E8C8,Frontier Farms,recreational producer,Oregon,OR,,,,04/25/2025,active,,
020-1000455C99C,Left Coast Standard,recreational producer,Oregon,OR,,,,09/01/2025,active,,
020-1000456B832,Oregon Roots,recreational producer,Oregon,OR,,,,05/23/2025,active,,
020-1000470C581,Mellow Leaf Farms,recreational producer,Oregon,OR,,,,08/25/2018,active,,
020-1000482C54C,Summary LLC,recreational producer,Oregon,OR,,,,01/08/2025,active,,
020-1000509B8C9,Emerald Valley Growers,recreational producer,Oregon,OR,,,,05/21/2025,active,,
020-1000565E2A4,Sally's Garden,recreational producer,Oregon,OR,,,,10/24/2024,active,,
020-1000576AAAC,7 points oregon,recreational producer,Oregon,OR,,,,12/14/2024,active,,
020-1000607A138,Ag Repair,recreational producer,Oregon,OR,,,,08/31/2025,active,,
020-1000619DB55,Sky High Farms,recreational producer,Oregon,OR,,,,11/01/2025,active,,
020-1000625AE80,Wicked Kind,recreational producer,Oregon,OR,,,,03/01/2025,active,,
020-1000634CFB2,Workingman's Bud,recreational producer,Oregon,OR,,,,08/22/2025,active,,
020-1000727CE8E,Summit Cannabis,recreational producer,Oregon,OR,,,,06/28/2025,active,,
020-1000790E238,Ten Four Farms,recreational producer,Oregon,OR,,,,04/09/2025,active,,
020-1000798B8B8,MariCo Farms,recreational producer,Oregon,OR,,,,05/19/2025,active,,
020-1000809A2EB,Cultivated Industries (Cultivated Farms),recreational producer,Oregon,OR,,,,10/19/2024,active,,
020-1000810A001,Cowgirl Cannabis,recreational producer,Oregon,OR,,,,08/29/2025,active,,
020-1000899A53D,Green Bull Farms,recreational producer,Oregon,OR,,,,06/11/2025,active,,
020-1000938E0EE,Hedgpeth Farms LLC,recreational producer,Oregon,OR,,,,06/08/2025,active,,
020-1000956F4BF,Thunder Farms,recreational producer,Oregon,OR,,,,02/05/2025,active,,
020-1001027E404,"Green Acers Farm, LLC",recreational producer,Oregon,OR,,,,06/19/2025,active,,
020-1001034DCCC,Farmer Ken's,recreational producer,Oregon,OR,,,,02/08/2025,active,,
020-1001044C1D9,Black Market Distribution,recreational producer,Oregon,OR,,,,12/22/2024,active,,
020-1001089F440,Novik Industries LLC,recreational producer,Oregon,OR,,,,02/22/2025,active,,
020-1001101C42D,Sasquatch Valley Farm,recreational producer,Oregon,OR,,,,09/06/2025,active,,
020-1001116FB92,Hillside Herbs / Roganja / Massive Seeds,recreational producer,Oregon,OR,,,,07/04/2025,active,,
020-1001147B893,Arnow Browne,recreational producer,Oregon,OR,,,,09/29/2025,active,,
020-1001187C32C,SugarTop Buddery,recreational producer,Oregon,OR,,,,01/05/2025,active,,
020-1001264ED0D,Oregon Cannabis Authority,recreational producer,Oregon,OR,,,,10/20/2024,active,,
020-1001356D897,La Mota LLC,recreational producer,Oregon,OR,,,,07/08/2025,active,,
020-1001370F985,Uncle Johns Farm,recreational producer,Oregon,OR,,,,07/25/2025,active,,
020-1001373CA42,Sticky Trees,recreational producer,Oregon,OR,,,,09/26/2025,active,,
020-1001391C10A,PRUF CULTIVAR- HECATE GARDENS,recreational producer,Oregon,OR,,,,12/26/2024,active,,
020-1001402E156,"Rose Bud Growers, LLC",recreational producer,Oregon,OR,,,,09/18/2025,active,,
020-1001422AE4B,Eastern Oregon Business Development,recreational producer,Oregon,OR,,,,09/22/2024,active,,
020-1001458C024,East Fork Cultivars,recreational producer,Oregon,OR,,,,07/20/2025,active,,
020-1001470A9E3,Bliss Farm,recreational producer,Oregon,OR,,,,06/01/2025,active,,
020-1001596D7A0,Cannabis Nation Cultivation,recreational producer,Oregon,OR,,,,11/13/2024,active,,
020-1001645DDC3,Helia Fields,recreational producer,Oregon,OR,,,,07/04/2025,active,,
020-1001669AC27,The Cannabis Farm,recreational producer,Oregon,OR,,,,06/01/2025,active,,
020-1001690F402,"Resin Ranchers, Inc.",recreational producer,Oregon,OR,,,,01/25/2025,active,,
020-1001708B711,Eagle Creek Growers LLC,recreational producer,Oregon,OR,,,,04/12/2025,active,,
020-1001769A99E,Terra Verde,recreational producer,Oregon,OR,,,,06/20/2025,active,,
020-1001810F4B7,"Midori Farms, LLC",recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-1001842C5BE,LUCKY LION,recreational producer,Oregon,OR,,,,12/22/2024,active,,
020-1001903B892,Green World Plantations Investments,recreational producer,Oregon,OR,,,,03/29/2025,active,,
020-1001938E2CC,Emerald Fields,recreational producer,Oregon,OR,,,,09/22/2025,active,,
020-1001983E80F,Higher Minds Horticulture,recreational producer,Oregon,OR,,,,11/01/2024,active,,
020-1002017A034,Noblecraft,recreational producer,Oregon,OR,,,,09/20/2025,active,,
020-1002097E7EA,Golden Jasmine,recreational producer,Oregon,OR,,,,02/26/2025,active,,
020-1002131ADC5,Alfalfa Valley Farms,recreational producer,Oregon,OR,,,,05/29/2025,active,,
020-1002219E92E,Ideal Herbs,recreational producer,Oregon,OR,,,,11/07/2024,active,,
020-1002246CB04,"OM Farms, LLC",recreational producer,Oregon,OR,,,,06/22/2025,active,,
020-1002250AD7C,Clone Brothers Farm,recreational producer,Oregon,OR,,,,05/22/2025,active,,
020-1002281D780,Valor Cannabis,recreational producer,Oregon,OR,,,,11/21/2024,active,,
020-1002294A20B,Uncle John's Farm,recreational producer,Oregon,OR,,,,07/25/2025,active,,
020-1002355DD81,Gong-Ji Farm LLC,recreational producer,Oregon,OR,,,,05/25/2025,active,,
020-1002416DB14,Ghost Tree,recreational producer,Oregon,OR,,,,09/18/2024,active,,
020-1002447B70D,Whiskey Creek Cannabis,recreational producer,Oregon,OR,,,,09/08/2024,active,,
020-1002532EEB6,Shadowbox Farms,recreational producer,Oregon,OR,,,,08/03/2025,active,,
020-1002538FEB6,Wise Gardens,recreational producer,Oregon,OR,,,,10/03/2024,active,,
020-1002606CBF4,Strong Roots,recreational producer,Oregon,OR,,,,02/08/2025,active,,
020-1002619DEB8,Green Roots Ranch,recreational producer,Oregon,OR,,,,11/13/2024,active,,
020-1002624CA64,Happy Cabbage Farms,recreational producer,Oregon,OR,,,,12/26/2024,active,,
020-1002625CFC5,Midnight Trich Farm,recreational producer,Oregon,OR,,,,09/21/2025,active,,
020-1002643F1BA,Trellis Holdings,recreational producer,Oregon,OR,,,,07/18/2025,active,,
020-1002678C19E,Folia,recreational producer,Oregon,OR,,,,11/06/2024,active,,
020-1002681CD74,"Medicinal Roots, LLC",recreational producer,Oregon,OR,,,,02/27/2025,active,,
020-1002716FC9F,Sugar Tree Farm,recreational producer,Oregon,OR,,,,08/03/2025,active,,
020-1002757E94B,JD Grown,recreational producer,Oregon,OR,,,,09/05/2025,active,,
020-1002782C0E7,"Self Made Farms, LLC",recreational producer,Oregon,OR,,,,09/14/2025,active,,
020-1002788E39D,"Nebadon, Inc.",recreational producer,Oregon,OR,,,,11/16/2025,active,,
020-1002848E8C9,The Heights Co.,recreational producer,Oregon,OR,,,,04/05/2025,active,,
020-1002853B750,"Oregon Cannabis Farms, LLC",recreational producer,Oregon,OR,,,,10/23/2024,active,,
020-1002932C991,Verdant Leaf,recreational producer,Oregon,OR,,,,01/31/2025,active,,
020-1002933D024,Oregon Greens,recreational producer,Oregon,OR,,,,03/01/2025,active,,
020-1003067B2BA,Honey Badger's Buds,recreational producer,Oregon,OR,,,,08/31/2025,active,,
020-1003135C09F,Viridis Hydroculture,recreational producer,Oregon,OR,,,,08/28/2025,active,,
020-1003165E8AB,HQFarms,recreational producer,Oregon,OR,,,,02/01/2025,active,,
020-1003228FA09,The Lusted Road Company,recreational producer,Oregon,OR,,,,04/15/2025,active,,
020-1003285F88D,Harvest Farms LLC,recreational producer,Oregon,OR,,,,03/09/2025,active,,
020-1003295F640,K M.A.D.E.,recreational producer,Oregon,OR,,,,12/22/2024,active,,
020-1003298A139,SunDaze Cannabis Company,recreational producer,Oregon,OR,,,,06/26/2025,active,,
020-1003480A615,Wasco Farms,recreational producer,Oregon,OR,,,,04/26/2025,active,,
020-1003507F47A,Golden Goddess,recreational producer,Oregon,OR,,,,04/28/2025,active,,
020-1003596AC50,Otto's OG Farm; Otto's Cannabis; Otto's Farm,recreational producer,Oregon,OR,,,,02/09/2025,active,,
020-1003747EBD2,Sugarbud,recreational producer,Oregon,OR,,,,06/18/2025,active,,
020-1003798EEFC,Haze Farms LLC,recreational producer,Oregon,OR,,,,03/22/2025,active,,
020-1003851CB2B,Gardens of Odin,recreational producer,Oregon,OR,,,,06/02/2025,active,,
020-1003970F880,Terra Australis,recreational producer,Oregon,OR,,,,10/12/2024,active,,
020-1004186D6FB,Excolo,recreational producer,Oregon,OR,,,,07/06/2025,active,,
020-1004204F9D8,Kumba Hills Farms,recreational producer,Oregon,OR,,,,09/20/2025,active,,
020-1004259EB0B,Old Apple Farm,recreational producer,Oregon,OR,,,,02/23/2025,active,,
020-1004308C411,PDX ORGANICS,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-1004408DE2D,Rolen Stone Farms,recreational producer,Oregon,OR,,,,06/19/2025,active,,
020-1004481FCA8,Capital Cannabis,recreational producer,Oregon,OR,,,,09/11/2024,active,,
020-1004693B783,Golden Stone Farm,recreational producer,Oregon,OR,,,,09/27/2024,active,,
020-1004838EFA3,BA Botanicals,recreational producer,Oregon,OR,,,,10/11/2024,active,,
020-1004858C296,BeanPharm,recreational producer,Oregon,OR,,,,10/19/2024,active,,
020-1004899FD57,Belushi's Farm,recreational producer,Oregon,OR,,,,08/03/2025,active,,
020-1004961E777,Sweet Creek Botanicals,recreational producer,Oregon,OR,,,,05/18/2025,active,,
020-1004977A524,Swicks,recreational producer,Oregon,OR,,,,03/26/2025,active,,
020-1004978EF27,KMB Farms,recreational producer,Oregon,OR,,,,06/10/2025,active,,
020-1005052CAC3,Professor Toad,recreational producer,Oregon,OR,,,,05/25/2025,active,,
020-1005054FD1C,Green Bandit,recreational producer,Oregon,OR,,,,05/07/2025,active,,
020-1005221E03A,"Pioneer Farms, LLC",recreational producer,Oregon,OR,,,,07/19/2025,active,,
020-1005293A96A,SeaWeedz,recreational producer,Oregon,OR,,,,04/09/2025,active,,
020-1005351D67C,"Million Elephants, LLC",recreational producer,Oregon,OR,,,,05/25/2025,active,,
020-1005418E02F,Dope Nuggets,recreational producer,Oregon,OR,,,,01/31/2025,active,,
020-1005493A714,Cafe Verde,recreational producer,Oregon,OR,,,,04/12/2025,active,,
020-1005500E206,Southern Flame,recreational producer,Oregon,OR,,,,08/16/2025,active,,
020-1005584B72B,Gnosis Gardens,recreational producer,Oregon,OR,,,,07/17/2025,active,,
020-1005642FFAB,Phillips Field Facility,recreational producer,Oregon,OR,,,,06/01/2025,active,,
020-1005671C40F,Kendo Farms,recreational producer,Oregon,OR,,,,11/14/2024,active,,
020-1005681B0A4,Viola Ridge,recreational producer,Oregon,OR,,,,05/14/2025,active,,
020-1005685A84D,Ripped City,recreational producer,Oregon,OR,,,,07/11/2025,active,,
020-1005719BFF5,Flint Farms,recreational producer,Oregon,OR,,,,07/27/2025,active,,
020-1005723D77C,F & J's Farm,recreational producer,Oregon,OR,,,,08/07/2025,active,,
020-1005749C551,Mana Farms,recreational producer,Oregon,OR,,,,03/01/2025,active,,
020-1005821A8AF,Klone Kings LLC,recreational producer,Oregon,OR,,,,02/23/2025,active,,
020-1005859C447,Life flower,recreational producer,Oregon,OR,,,,05/23/2025,active,,
020-1005876AC05,Dani James Cannabis Co.,recreational producer,Oregon,OR,,,,09/05/2025,active,,
020-1005952EBDF,America1776 LLC,recreational producer,Oregon,OR,,,,08/23/2025,active,,
020-1006080D1FB,Rainbow Circles,recreational producer,Oregon,OR,,,,06/11/2025,active,,
020-1006146D1C8,Pineapple Society,recreational producer,Oregon,OR,,,,04/19/2025,active,,
020-1006166A33A,Grown Rogue Gardens,recreational producer,Oregon,OR,,,,07/09/2025,active,,
020-1006168AB1B,Grown Rogue,recreational producer,Oregon,OR,,,,10/05/2024,active,,
020-1006468AEC9,High Altitude LLC,recreational producer,Oregon,OR,,,,07/25/2025,active,,
020-1006501B9DE,Self Made Cannabis Company,recreational producer,Oregon,OR,,,,10/01/2025,active,,
020-1006508EE6B,Oregon's Top Shelf,recreational producer,Oregon,OR,,,,07/31/2025,active,,
020-1006526E154,Benson Arbor,recreational producer,Oregon,OR,,,,08/15/2025,active,,
020-1006541F4B9,Bonfire Farms,recreational producer,Oregon,OR,,,,11/20/2024,active,,
020-1006559EBCE,"Louis VuChron, LLC",recreational producer,Oregon,OR,,,,01/22/2025,active,,
020-1006570FDDA,Big League Farms LLC,recreational producer,Oregon,OR,,,,07/10/2025,active,,
020-1006577FD20,Sacred Agronomy,recreational producer,Oregon,OR,,,,10/14/2024,active,,
020-1006603AE89,Concrete Jungle,recreational producer,Oregon,OR,,,,11/15/2024,active,,
020-1006616F04D,Dr. Dank,recreational producer,Oregon,OR,,,,03/08/2025,active,,
020-1006622AC01,Green Hills,recreational producer,Oregon,OR,,,,09/27/2025,active,,
020-1006644C9FB,Dream Girl Cannabis,recreational producer,Oregon,OR,,,,09/14/2024,active,,
020-1006654C5CC,"Critical Green Farms, Inc.",recreational producer,Oregon,OR,,,,08/15/2025,active,,
020-1006680E29B,"BG3 Productions, LLC",recreational producer,Oregon,OR,,,,07/16/2025,active,,
020-1006714EBB7,Fireworks Farm,recreational producer,Oregon,OR,,,,01/03/2025,active,,
020-1006729FA8B,Coastal Craft 1,recreational producer,Oregon,OR,,,,02/19/2025,active,,
020-1006817C854,Culla Enterprise LLC,recreational producer,Oregon,OR,,,,06/09/2025,active,,
020-1006819C825,KaCha,recreational producer,Oregon,OR,,,,09/25/2024,active,,
020-1006861D757,CANNA ROYALE / ROYAL ZEN,recreational producer,Oregon,OR,,,,09/11/2025,active,,
020-1006869E6E8,BUD BROS FARMS LLC,recreational producer,Oregon,OR,,,,09/07/2025,active,,
020-1006903F669,Indigo Gardens,recreational producer,Oregon,OR,,,,08/22/2025,active,,
020-1006910E444,Artisan Grown,recreational producer,Oregon,OR,,,,01/15/2025,active,,
020-1006933D226,"Rising Leaf Farms, LLC",recreational producer,Oregon,OR,,,,10/04/2025,active,,
020-1006994D39A,Tmcc,recreational producer,Oregon,OR,,,,08/31/2025,active,,
020-1007039B946,Rogue River Family Farms,recreational producer,Oregon,OR,,,,07/16/2025,active,,
020-1007058AA97,Alibamah Botanicals,recreational producer,Oregon,OR,,,,06/03/2025,active,,
020-1007105ECC8,"JJ Farms Oregon, LLC",recreational producer,Oregon,OR,,,,10/22/2024,active,,
020-1007176ECDE,"EliteXtrx, LLC",recreational producer,Oregon,OR,,,,01/04/2025,active,,
020-1007206B076,La Mota,recreational producer,Oregon,OR,,,,07/28/2025,active,,
020-1007271ACE7,HqO,recreational producer,Oregon,OR,,,,05/13/2025,active,,
020-1007303E54E,Urban Pharms LLC,recreational producer,Oregon,OR,,,,09/25/2024,active,,
020-1007314DBF1,Urban Pharms,recreational producer,Oregon,OR,,,,09/12/2024,active,,
020-1007331ADCB,Loud AF,recreational producer,Oregon,OR,,,,12/28/2024,active,,
020-1007335CC9E,Bliss Cultivation,recreational producer,Oregon,OR,,,,12/13/2024,active,,
020-1007412FC1C,Southlake Farms,recreational producer,Oregon,OR,,,,09/09/2025,active,,
020-1007414F1C9,NakD Farms,recreational producer,Oregon,OR,,,,06/30/2025,active,,
020-1007433E43C,Sugar Tree Farm 2,recreational producer,Oregon,OR,,,,07/05/2025,active,,
020-1007446FBB5,Green Queen Farms,recreational producer,Oregon,OR,,,,06/07/2025,active,,
020-1007448C369,Living Things,recreational producer,Oregon,OR,,,,08/14/2025,active,,
020-1007507B574,LUANKA COLLECTIVE,recreational producer,Oregon,OR,,,,04/19/2025,active,,
020-1007510E91B,Green Fox Farms,recreational producer,Oregon,OR,,,,06/10/2025,active,,
020-1007529DA61,Terpene Gardens,recreational producer,Oregon,OR,,,,01/01/2025,active,,
020-1007532DB5E,Logsden Farms,recreational producer,Oregon,OR,,,,02/27/2025,active,,
020-1007688D38D,Dutch Valley Farms,recreational producer,Oregon,OR,,,,04/26/2025,active,,
020-1007693C0FA,5 Points Farms,recreational producer,Oregon,OR,,,,02/05/2025,active,,
020-1007764A176,"Red Barn Organics II, LLC",recreational producer,Oregon,OR,,,,01/04/2025,active,,
020-1007796DF45,"BUCO Farms, LLC",recreational producer,Oregon,OR,,,,07/25/2025,active,,
020-1007805A6C3,"Chronic Herbivores, LLC",recreational producer,Oregon,OR,,,,06/20/2025,active,,
020-1007877FC6B,DNP LLC,recreational producer,Oregon,OR,,,,05/29/2024,active,,
020-1007944FFDB,His and Her Grow,recreational producer,Oregon,OR,,,,02/11/2025,active,,
020-1007970A0AD,Herbal Dynamics,recreational producer,Oregon,OR,,,,03/22/2025,active,,
020-1008021F51D,Folium Farms,recreational producer,Oregon,OR,,,,03/01/2025,active,,
020-1008074D166,"Trainsong Cannabis Company, LLC",recreational producer,Oregon,OR,,,,03/13/2025,active,,
020-1008081A7F3,Sticky Farms,recreational producer,Oregon,OR,,,,10/03/2024,active,,
020-1008116D800,"White Wolf Cannabis Co., White Wolf, Roam Cannabis, Allroads Apothecary",recreational producer,Oregon,OR,,,,02/03/2025,active,,
020-1008191F710,B-Force,recreational producer,Oregon,OR,,,,04/25/2025,active,,
020-1008229A35F,Paschal Farms,recreational producer,Oregon,OR,,,,06/07/2025,active,,
020-1008248B7FC,Panda Farms,recreational producer,Oregon,OR,,,,12/26/2024,active,,
020-1008274ACF8,Re Up Farms,recreational producer,Oregon,OR,,,,05/14/2025,active,,
020-1008331E287,Makru Farms,recreational producer,Oregon,OR,,,,05/15/2025,active,,
020-1008379BB7C,Garden First Cannabis,recreational producer,Oregon,OR,,,,02/27/2025,active,,
020-1008461E051,Kana Farms LLC,recreational producer,Oregon,OR,,,,09/26/2024,active,,
020-1008484D051,"Good Flower, LLC",recreational producer,Oregon,OR,,,,06/25/2025,active,,
020-1008624B00D,Daema Farms,recreational producer,Oregon,OR,,,,05/08/2025,active,,
020-1008662FB90,Loud City Farms,recreational producer,Oregon,OR,,,,06/21/2025,active,,
020-1008680A373,Happy Healing Farms,recreational producer,Oregon,OR,,,,12/23/2024,active,,
020-1008685B0EE,Peacock Flower Farm,recreational producer,Oregon,OR,,,,06/06/2025,active,,
020-1008747E24E,Cranky Cannabis,recreational producer,Oregon,OR,,,,06/26/2025,active,,
020-1008796FA70,Prime Pine Co,recreational producer,Oregon,OR,,,,07/26/2025,active,,
020-1008803CC45,Pharm-Ecology,recreational producer,Oregon,OR,,,,03/01/2025,active,,
020-1008807FFD6,Juicy Farms,recreational producer,Oregon,OR,,,,07/02/2025,active,,
020-1008810E609,Pacific Grove,recreational producer,Oregon,OR,,,,10/10/2024,active,,
